# building trial info unpredictable 4
# id, p/w, x, y, door_location, door_prompt, door_missing, false_prompt 

0, w, -1.4986, -0.0762, 2, -1, -1, -1
1, w, -0.0762, -0.0762, 2, -1, -1, -1
2, p, -0.0762, -1.4986, 0, -1, -1, -1 
3, p, 1.6002, -1.2446, 3, -1, -1, -1
4, w, 1.6002, 0.1778, 0, -1, -1, -1
5, p, 1.6002, 1.6002, 2, -1, -1, -1
6, p, 0.1778, 1.6002, 3, -1, -1, -1
7, w, -1.2446, 1.6002, 2, -1, -1, -1

